Sl. No.,City,2020,2021,2022,Actual Population (in Lakhs) (2011),Rate of Violent Crimes (2022),Chargesheeting Rate (2022)
1,Ahmedabad (Gujarat),957,1022,1215,63.5,19.1,80.2
2,Bengaluru (Karnataka),2545,2393,2769,85,32.6,60.9
3,Chennai (Tamil Nadu),1439,1450,1031,87,11.9,95
4,Coimbatore (Tamil Nadu),164,231,347,21.5,16.1,93.5
5,Delhi City,9861,11653,11369,163.1,69.7,54.3
6,Ghaziabad (Uttar Pradesh),279,367,525,23.6,22.3,73.6
7,Hyderabad (Telangana),1045,1232,1364,77.5,17.6,62
8,Indore (Madhya Pradesh),939,1292,1308,21.7,60.4,55.2
9,Jaipur (Rajasthan),1333,1601,1849,30.7,60.2,42.5
10,Kanpur (Uttar Pradesh),473,389,851,29.2,29.1,71.6
11,Kochi (Kerala),287,289,471,21.2,22.2,94.5
12,Kolkata (West Bengal),981,1080,1072,141.1,7.6,81.5
13,Kozhikode (Kerala),453,416,523,20.3,25.8,92.5
14,Lucknow (Uttar Pradesh),1592,1636,1319,29,45.5,70.8
15,Mumbai (Maharashtra),4151,4926,4987,184.1,27.1,62.8
16,Nagpur (Maharashtra),1228,1409,1278,25,51.2,67.3
17,Patna (Bihar),1631,1498,1862,20.5,91,93.6
18,Pune (Maharashtra),1320,1898,2417,50.5,47.9,75.5
19,Surat (Gujarat),647,790,810,45.8,17.7,66.4
Total Cities,Total Cities,31325,35572,37367,1140.4,32.8,67.3
