Sl. No.,City,Child Victims - Below 6 Years - M - Col.(3),Child Victims - Below 6 Years - F - Col.(4),Child Victims - Below 6 Years - Trans - Col.(5),Child Victims - Below 6 Years - Total - Col.(6),Child Victims - 6 Years to 12 Years - M - Col.(7),Child Victims - 6 Years to 12 Years - F - Col.(8),Child Victims - 6 Years to 12 Years - Trans - Col.(9),Child Victims - 6 Years to 12 Years - Total - Col.(10),Child Victims - 12 Years to 16 Years - M - Col.(11),Child Victims - 12 Years to 16 Years - F - Col.(12),Child Victims - 12 Years to 16 Years - Trans - Col.(13),Child Victims - 12 Years to 16 Years - Total - Col.(14),Child Victims - 16 Years to 18 Years - M - Col.(15),Child Victims - 16 Years to 18 Years - F - Col.(16),Child Victims - 16 Years to 18 Years - Trans - Col.(17),Child Victims - Total - Col.(18),Child Victims - Total Child Victims - M - Col.(19),Child Victims - Total Child Victims - F - Col.(20),Child Victims - Total Child Victims - Trans - Col.(21),Child Victims - Total Child Victims - Total - Col.(22),Adult Victims - 18 Years to 30 Years - M - Col.(23),Adult Victims - 18 Years to 30 Years - F - Col.(24),Adult Victims - 18 Years to 30 Years - Trans - Col.(25),Adult Victims - 18 Years to 30 Years - Total - Col.(26),Adult Victims - 30 Years to 45 Years - M - Col.(27),Adult Victims - 30 Years to 45 Years - F - Col.(28),Adult Victims - 30 Years to 45 Years - Trans - Col.(29),Adult Victims - 30 Years to 45 Years - Total - Col.(30),Adult Victims - 45 Years to 60 Years - M - Col.(31),Adult Victims - 45 Years to 60 Years - F - Col.(32),Adult Victims - 45 Years to 60 Years - Trans - Col.(33),Adult Victims - 45 Years to 60 Years - Total - Col.(34),Adult Victims - 60 Years and above - M - Col.(35),Adult Victims - 60 Years and above - F - Col.(36),Adult Victims - 60 Years and above - Trans - Col.(37),Adult Victims - 60 Years and above - Total - Col.(38),Adult Victims - Total Adult Victims - M - Col.(39),Adult Victims - Total Adult Victims - F - Col.(40),Adult Victims - Total Adult Victims - Trans - Col.(41),Adult Victims - Total Adult Victims - Total - Col.(42),Total Victims (Child + Adult) - M - Col.(43),Total Victims (Child + Adult) - F - Col.(44),Total Victims (Child + Adult) - Trans - Col.(45),Total Victims (Child + Adult) - Total - Col.(46)
1,Ahmedabad (Gujarat),1,1,0,2,0,1,0,1,2,2,0,4,2,0,0,2,5,4,0,9,23,5,0,28,37,5,0,42,13,4,0,17,5,3,0,8,78,17,0,95,83,21,0,104
2,Bengaluru (Karnataka),1,5,0,6,2,1,0,3,0,0,0,0,1,0,0,1,4,6,0,10,51,11,0,62,39,24,2,65,16,7,0,23,10,7,0,17,116,49,2,167,120,55,2,177
3,Chennai (Tamil Nadu),0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,1,1,0,2,24,8,0,32,22,3,0,25,31,2,0,33,6,5,0,11,83,18,0,101,84,19,0,103
4,Coimbatore (Tamil Nadu),0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,2,0,0,2,4,0,0,4,7,1,0,8,11,0,0,11,3,3,0,6,25,4,0,29,27,4,0,31
5,Delhi City,3,1,0,4,6,0,0,6,8,0,0,8,3,1,0,4,20,2,0,22,203,38,0,241,156,31,0,187,33,12,0,45,15,7,0,22,407,88,0,495,427,90,0,517
6,Ghaziabad (Uttar Pradesh),0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,2,34,7,0,41,13,5,0,18,0,0,0,0,0,0,0,0,47,12,0,59,48,13,0,61
7,Hyderabad (Telangana),0,1,0,1,0,1,0,1,2,1,0,3,0,0,0,0,2,3,0,5,22,1,0,23,31,0,0,31,18,0,0,18,1,1,0,2,72,2,0,74,74,5,0,79
8,Indore (Madhya Pradesh),2,1,0,3,1,2,0,3,1,0,0,1,0,1,0,1,4,4,0,8,28,3,1,32,24,6,0,30,3,1,0,4,4,2,0,6,59,12,1,72,63,16,1,80
9,Jaipur (Rajasthan),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,4,0,42,64,15,0,79,8,3,0,11,0,0,0,0,110,22,0,132,110,22,0,132
10,Kanpur (Uttar Pradesh),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,6,0,42,26,4,0,30,7,2,0,9,0,0,0,0,69,12,0,81,69,12,0,81
