Sl. No.,State/UT,Cases Reported - Col.(3),Child Victims of Rape (Below 18 Yrs) - Below 6 Years - Col.(4),Child Victims of Rape (Below 18 Yrs) - 6 Years and Above - Below 12 Years - Col.(5),Child Victims of Rape (Below 18 Yrs) - 12 Years and Above - Below 16 Years - Col.(6),Child Victims of Rape (Below 18 Yrs) - 16 Years and Above - Below 18 Years - Col.(7),Child Victims of Rape (Below 18 Yrs) - Total Girl / Child Victims - Col.(8),Women Victims of Rape (Above 18 Years) - 18 Years and Above - Below 30 Years - Col.(9),Women Victims of Rape (Above 18 Years) - 30 Years and Above - Below 45 Years - Col.(10),Women Victims of Rape (Above 18 Years) - 45 Years and Above - Below 60 Years - Col.(11),Women Victims of Rape (Above 18 Years) - 60 Years and Above - Col.(12),Women Victims of Rape (Above 18 Years) - Total Women / Adult Victims - Col.(13),Total Victims (Col.8+Col.13) - Col.(14)
1,Andhra Pradesh,621,0,0,0,0,0,458,160,8,1,627,627
2,Arunachal Pradesh,74,1,3,17,9,30,24,19,1,0,44,74
3,Assam,1113,0,0,2,2,4,868,455,151,0,1474,1478
4,Bihar,881,0,0,0,0,0,644,225,10,2,881,881
5,Chhattisgarh,1246,0,0,0,0,0,786,408,47,5,1246,1246
6,Goa,73,2,12,26,17,57,10,6,2,0,18,75
7,Gujarat,610,0,0,0,0,0,407,189,12,2,610,610
8,Haryana,1787,0,0,0,0,0,1094,628,59,6,1787,1787
9,Himachal Pradesh,359,10,22,95,96,223,109,32,5,0,146,369
10,Jharkhand,1298,0,0,10,174,184,903,208,3,0,1114,1298
11,Karnataka,595,0,0,0,0,0,385,190,21,2,598,598
12,Kerala,814,0,0,0,0,0,414,336,55,15,820,820
13,Madhya Pradesh,3029,0,0,0,0,0,1970,931,138,7,3046,3046
14,Maharashtra,2904,0,0,0,0,0,1860,934,106,11,2911,2911
15,Manipur,42,0,0,0,0,0,29,13,0,0,42,42
16,Meghalaya,75,0,1,2,0,3,39,30,3,0,72,75
17,Mizoram,14,0,0,0,1,1,11,1,1,0,13,14
18,Nagaland,7,0,0,1,0,1,5,1,0,0,6,7
19,Odisha,1464,0,0,0,1,1,1425,31,3,4,1463,1464
20,Punjab,517,0,0,0,0,0,349,150,12,6,517,517
21,Rajasthan,5399,0,0,0,0,0,3615,1506,287,0,5408,5408
22,Sikkim,13,0,0,0,0,0,9,3,0,1,13,13
23,Tamil Nadu,421,0,0,2,3,5,312,84,9,11,416,421
24,Telangana,814,0,0,0,0,0,563,221,27,3,814,814
25,Tripura,62,0,0,0,0,0,42,16,4,0,62,62
26,Uttar Pradesh,3690,17,46,193,203,459,2427,724,81,1,3233,3692
27,Uttarakhand,867,0,0,0,0,0,487,352,65,1,905,905
28,West Bengal,1111,0,0,0,0,0,680,392,38,2,1112,1112
Total State (S),Total State (S),29900,30,84,348,506,968,19925,8245,1148,80,29398,30366
29,Andaman and Nicobar Islands,12,0,0,0,0,0,9,3,0,0,12,12
30,Chandigarh,78,2,4,21,21,48,21,9,0,0,30,78
31,Dadra and Nagar Haveli and Daman and Diu,9,0,0,0,0,0,6,3,0,0,9,9
32,Delhi,1212,0,0,0,0,0,886,304,17,5,1212,1212
33,Jammu and Kashmir,287,0,0,0,0,0,203,78,5,1,287,287
34,Ladakh,5,0,0,1,0,1,2,2,0,0,4,5
35,Lakshadweep,4,0,0,0,0,0,4,0,0,0,4,4
36,Puducherry,9,0,0,0,0,0,7,0,1,1,9,9
Total UT (S),Total UT (S),1616,2,4,22,21,49,1138,399,23,7,1567,1616
Total All India,Total All India,31516,32,88,370,527,1017,21063,8644,1171,87,30965,31982
Percentage Share of Age-Group of Victims,Percentage Share of Age-Group of Victims,NA,0.1,0.3,1.2,1.6,3.2,65.9,27,3.7,0.3,96.8,100
