Sl. No.,City,2020,2021,2022,Actual Population (in Lakhs) (2011),Rate of Total Crime against Women (2022),Chargesheeting Rate (2022)
1,Ahmedabad (Gujarat),1524,1554,1452,30,48.3,91.2
2,Bengaluru (Karnataka),2730,3127,3924,40.6,96.7,74.2
3,Chennai (Tamil Nadu),576,874,736,43.1,17.1,81.1
4,Coimbatore (Tamil Nadu),97,190,138,10.7,12.9,91.6
5,Delhi City,9782,13982,14158,75.8,186.9,72.4
6,Ghaziabad (Uttar Pradesh),341,591,1063,11,96.5,82
7,Hyderabad (Telangana),2390,3050,3145,37.6,83.6,71.7
8,Indore (Madhya Pradesh),1346,1794,1809,10.4,174.3,75.9
9,Jaipur (Rajasthan),2369,2827,3479,14.5,239.3,53
10,Kanpur (Uttar Pradesh),1056,894,2099,13.4,157.2,75.1
11,Kochi (Kerala),403,531,754,10.8,70.1,90.9
12,Kolkata (West Bengal),2001,1783,1890,67.9,27.8,86.9
13,Kozhikode (Kerala),394,632,759,10.6,71.3,92.4
14,Lucknow (Uttar Pradesh),2636,2161,2231,13.8,161.4,80.6
15,Mumbai (Maharashtra),4583,5543,6176,85.2,72.5,78.6
16,Nagpur (Maharashtra),920,1156,1259,12.2,103,74.8
17,Patna (Bihar),495,487,812,9.6,84.7,93.2
18,Pune (Maharashtra),1055,1616,2074,23.9,86.8,75.3
19,Surat (Gujarat),633,622,797,19.7,40.4,76.3
Total Cities,Total Cities,35331,43414,48755,540.9,90.1,75.7
